교육과정,출판년도,국/검/인정,자료형태,학교급,학교구분,서명,저자,발행처(출판사),정가,사용학년
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기계제어설계Ⅱ,,교육부,6930.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기계제어설계Ⅲ,,교육부,7320.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선반가공Ⅰ,,교육부,8770.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선반가공Ⅱ,,교육부,7920.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선반가공Ⅲ,,교육부,7850.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선반가공Ⅳ,,교육부,7450.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선반가공Ⅴ,,교육부,6860.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),밀링가공Ⅰ,,교육부,7850.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),밀링가공Ⅱ,,교육부,8580.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),밀링가공Ⅲ,,교육부,10420.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),밀링가공Ⅳ,,교육부,8510.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),연삭가공Ⅰ,,교육부,6790.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),연삭가공Ⅱ,,교육부,7520.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),연삭가공Ⅲ,,교육부,7450.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),연삭가공Ⅳ,,교육부,7320.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),연삭가공Ⅴ,,교육부,9960.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),컴퓨터활용생산Ⅰ,,교육부,8440.0,
