교육과정,출판년도,국/검/인정,자료형태,학교급,학교구분,서명,저자,발행처(출판사),정가,사용학년
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),신명나는토론교실,강치원,도도북스,6500.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),BRIDGEWAYS(GroupStyle1),PAUL Z.JAM,학문사,8500.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),BRIDGEWAYS(GroupStyle2),PAUL Z.JAM,학문사,8500.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),BRIDGEWAYS(GroupStyle3),PAUL Z.JAM,학문사,8500.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),생활과종교1,이재일,성화출판사,3000.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),생활과종교2,이재일,성화출판사,3000.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),생활과종교3,이재일,성화출판사,3000.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),스크래치프로그래밍,이영준,교학사,7500.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),아름다운독도,허영란,천재교육,5000.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),아름다운독도,허영란,천재교육,5000.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),더불어사는민주시민(경기도),엄경미,해냄에듀,4100.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),진로체험과포트폴리오,박정근,이오북스,8000.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),도서관과정보생활,변우열,미래엔,6000.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),에너지프로젝트1331,전영석,천재교육,6000.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),진로체험과포트폴리오,이우곤,도도북스,8000.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),평화시대를여는통일시민,황보근영,창비,4050.0,
2015개정교육과정,2020,인정,교과서,중학교,일반학교(보통교과),성과건강,김행자,들샘,5500.0,
